Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Phishing,Education,773169,Hacker Group,Unpatched Software,63,80.53
Ransomware,Retail,295961,Hacker Group,Unpatched Software,71,62.19
Man-in-the-Middle,IT,605895,Hacker Group,Weak Passwords,20,38.65
Ransomware,Telecommunications,659320,Nation-state,Social Engineering,7,41.44
Man-in-the-Middle,IT,810682,Insider,Social Engineering,68,74.41
Man-in-the-Middle,Retail,285201,Unknown,Social Engineering,25,98.24
DDoS,Telecommunications,431262,Insider,Unpatched Software,34,33.26
SQL Injection,Government,909991,Unknown,Social Engineering,66,59.23
Man-in-the-Middle,Banking,698249,Unknown,Social Engineering,47,16.88
DDoS,Healthcare,685927,Hacker Group,Unpatched Software,58,69.14
Phishing,Telecommunications,493675,Unknown,Zero-day,29,88.67
SQL Injection,Healthcare,920768,Hacker Group,Unpatched Software,27,38.81
Ransomware,Education,583204,Insider,Zero-day,37,30.56
DDoS,Healthcare,599797,Nation-state,Unpatched Software,35,58.37
DDoS,IT,922258,Unknown,Social Engineering,64,48.01
Phishing,Banking,120789,Nation-state,Zero-day,36,64.31
Man-in-the-Middle,Healthcare,850158,Hacker Group,Unpatched Software,67,13.04
DDoS,IT,805278,Insider,Social Engineering,56,93.14
Malware,Telecommunications,578443,Insider,Social Engineering,28,14.01
DDoS,IT,261808,Nation-state,Social Engineering,6,36.45
Ransomware,Retail,920172,Hacker Group,Weak Passwords,43,49.55
Ransomware,Education,261661,Insider,Social Engineering,11,17.72
DDoS,Government,246205,Nation-state,Unpatched Software,30,76.71
Phishing,Telecommunications,186148,Nation-state,Weak Passwords,32,20.42
DDoS,Telecommunications,699007,Hacker Group,Social Engineering,30,51.84
Phishing,Retail,628562,Insider,Zero-day,52,51.06
Malware,Education,570494,Nation-state,Unpatched Software,53,53.04
Ransomware,Banking,937653,Insider,Unpatched Software,24,26.17
Malware,IT,599757,Unknown,Social Engineering,9,87.32
DDoS,Government,904805,Hacker Group,Zero-day,61,82.7
SQL Injection,Education,678876,Hacker Group,Social Engineering,11,66.24
Malware,Telecommunications,246900,Hacker Group,Zero-day,34,18.38
SQL Injection,IT,85255,Unknown,Unpatched Software,61,42.99
Phishing,Banking,972469,Nation-state,Zero-day,21,98.47
Phishing,Healthcare,113777,Nation-state,Weak Passwords,27,14.51
Phishing,Banking,739540,Hacker Group,Zero-day,31,17.75
Man-in-the-Middle,Education,722788,Nation-state,Zero-day,70,19.81
SQL Injection,Retail,214372,Insider,Unpatched Software,12,82.52
DDoS,Retail,235314,Insider,Weak Passwords,62,32.53
DDoS,Education,140812,Nation-state,Unpatched Software,71,96.98
DDoS,Telecommunications,238356,Unknown,Zero-day,3,96.39
SQL Injection,IT,826976,Nation-state,Zero-day,57,98.09
Man-in-the-Middle,Retail,757694,Nation-state,Unpatched Software,69,39.77
DDoS,IT,403108,Hacker Group,Zero-day,64,74.12
DDoS,Banking,942890,Insider,Weak Passwords,19,92.95
Malware,Healthcare,794906,Unknown,Weak Passwords,36,20.33
SQL Injection,Government,481293,Hacker Group,Unpatched Software,65,27.33
DDoS,Education,602692,Hacker Group,Unpatched Software,29,21.01
Man-in-the-Middle,Retail,455529,Hacker Group,Zero-day,40,13.66
Phishing,Telecommunications,383395,Hacker Group,Zero-day,31,75.84
DDoS,Retail,113612,Hacker Group,Zero-day,70,59.69
Malware,Government,984411,Insider,Unpatched Software,17,21.72
Phishing,IT,17229,Hacker Group,Weak Passwords,30,85.58
Phishing,Healthcare,581303,Insider,Social Engineering,51,75.11
Man-in-the-Middle,Education,799474,Nation-state,Zero-day,23,10.8
DDoS,Banking,898655,Nation-state,Unpatched Software,10,86.27
Malware,Healthcare,698852,Unknown,Weak Passwords,57,67.1
DDoS,Healthcare,304162,Hacker Group,Unpatched Software,56,76.43
Phishing,Banking,191625,Hacker Group,Social Engineering,65,43.4
Phishing,Education,93185,Unknown,Unpatched Software,14,93.32
Phishing,Healthcare,40718,Nation-state,Zero-day,24,35.6
Phishing,Government,310574,Nation-state,Zero-day,65,42.73
DDoS,Education,475719,Nation-state,Social Engineering,52,73.37
Malware,Retail,404060,Unknown,Weak Passwords,32,73.18
Malware,Education,132726,Hacker Group,Zero-day,55,72.35
DDoS,Banking,336376,Nation-state,Social Engineering,11,87.68
Malware,Healthcare,566437,Unknown,Weak Passwords,63,67.16
Man-in-the-Middle,Education,313631,Nation-state,Weak Passwords,16,83.43
DDoS,Banking,996004,Unknown,Zero-day,28,28.66
Phishing,Healthcare,871600,Insider,Unpatched Software,29,55.04
DDoS,IT,940656,Unknown,Weak Passwords,41,43.51
Ransomware,Telecommunications,297209,Nation-state,Social Engineering,66,20.73
Phishing,IT,28321,Insider,Unpatched Software,63,78.19
Phishing,Telecommunications,456783,Nation-state,Zero-day,10,29.02
Ransomware,Banking,933028,Nation-state,Unpatched Software,25,87.56
Phishing,Telecommunications,221512,Nation-state,Zero-day,56,24.65
Phishing,Banking,16585,Hacker Group,Unpatched Software,12,17.88
Ransomware,Education,787752,Nation-state,Weak Passwords,9,21.01
SQL Injection,Banking,662517,Unknown,Social Engineering,40,60.25
Malware,Education,274509,Hacker Group,Zero-day,20,6.63
Phishing,Government,508649,Hacker Group,Unpatched Software,66,5.8
DDoS,IT,740257,Unknown,Weak Passwords,70,70.26
Malware,Healthcare,969504,Hacker Group,Social Engineering,5,62.08
Man-in-the-Middle,Healthcare,779494,Nation-state,Social Engineering,54,90.2
Malware,Banking,605166,Insider,Weak Passwords,27,44.17
Malware,Government,274946,Insider,Zero-day,66,55.18
Man-in-the-Middle,Banking,645097,Nation-state,Zero-day,36,41.32
DDoS,Telecommunications,157678,Nation-state,Unpatched Software,68,32.92
DDoS,Retail,157034,Nation-state,Social Engineering,69,15.16
SQL Injection,Education,550656,Nation-state,Weak Passwords,4,62.5
SQL Injection,Healthcare,634048,Hacker Group,Unpatched Software,66,68.91
DDoS,Banking,547495,Nation-state,Weak Passwords,3,81.26
DDoS,Healthcare,487694,Hacker Group,Weak Passwords,41,58.31
Man-in-the-Middle,Retail,427067,Hacker Group,Unpatched Software,42,88.65
Malware,Telecommunications,954902,Hacker Group,Unpatched Software,55,1.51
Ransomware,Banking,128594,Nation-state,Weak Passwords,53,49.23
Phishing,Healthcare,189430,Nation-state,Social Engineering,1,84.53
DDoS,Healthcare,603327,Nation-state,Unpatched Software,15,90.63
DDoS,Education,276593,Nation-state,Social Engineering,36,80.26
Malware,Education,975282,Insider,Unpatched Software,49,22.87
Ransomware,Retail,486810,Hacker Group,Unpatched Software,11,23.79
Ransomware,IT,969517,Hacker Group,Weak Passwords,25,35.43
Malware,Banking,151599,Insider,Zero-day,18,74.77
SQL Injection,IT,749545,Unknown,Social Engineering,30,66.66
Malware,Retail,71743,Hacker Group,Unpatched Software,35,78.13
Phishing,Banking,969684,Hacker Group,Weak Passwords,41,11.39
SQL Injection,Education,842506,Unknown,Weak Passwords,19,87.84
Man-in-the-Middle,IT,933883,Nation-state,Social Engineering,41,10.18
Malware,Education,393748,Nation-state,Unpatched Software,10,4.42
DDoS,Banking,708549,Unknown,Weak Passwords,37,76.98
DDoS,Healthcare,136762,Unknown,Zero-day,41,73.24
Malware,Telecommunications,737958,Unknown,Social Engineering,35,8.11
Man-in-the-Middle,Banking,108886,Insider,Unpatched Software,51,23.55
Phishing,Banking,285311,Nation-state,Unpatched Software,55,92.79
Malware,Retail,961868,Hacker Group,Unpatched Software,57,71.11
Man-in-the-Middle,Banking,471743,Unknown,Zero-day,29,57.34
Phishing,Government,993903,Unknown,Weak Passwords,25,81.26
Ransomware,Telecommunications,179156,Nation-state,Social Engineering,34,7.32
Man-in-the-Middle,Healthcare,699129,Nation-state,Unpatched Software,25,56.27
Malware,IT,920983,Insider,Social Engineering,24,83.76
SQL Injection,Banking,875790,Nation-state,Unpatched Software,36,85.64
Malware,Retail,415274,Hacker Group,Weak Passwords,40,61.39
Ransomware,Banking,222293,Hacker Group,Social Engineering,38,42.14
Man-in-the-Middle,Retail,357092,Unknown,Unpatched Software,71,94.4
Malware,Telecommunications,708291,Hacker Group,Zero-day,54,84.68
Malware,Banking,517610,Nation-state,Social Engineering,35,93.33
Malware,Government,368803,Hacker Group,Unpatched Software,23,70.46
Man-in-the-Middle,Healthcare,421191,Nation-state,Unpatched Software,62,48.71
Phishing,IT,282139,Hacker Group,Unpatched Software,37,69.03
Malware,IT,117543,Insider,Social Engineering,22,49.19
Phishing,Government,536925,Unknown,Zero-day,62,27.2
Ransomware,Retail,238068,Unknown,Unpatched Software,61,64.08
Malware,Telecommunications,39814,Insider,Social Engineering,32,38.46
DDoS,Government,268956,Nation-state,Zero-day,47,80.89
Malware,Education,424,Nation-state,Unpatched Software,58,15.76
SQL Injection,Telecommunications,982969,Unknown,Unpatched Software,64,82.24
Malware,Government,219703,Nation-state,Social Engineering,33,82.72
Man-in-the-Middle,Retail,530947,Nation-state,Unpatched Software,12,18.96
SQL Injection,IT,576110,Insider,Unpatched Software,37,53.39
Man-in-the-Middle,Government,177154,Unknown,Zero-day,68,48.9
SQL Injection,Healthcare,212177,Hacker Group,Social Engineering,2,60.77
DDoS,Banking,8787,Hacker Group,Unpatched Software,55,91.24
Phishing,Education,291727,Insider,Social Engineering,31,41.36
DDoS,IT,987652,Hacker Group,Social Engineering,72,78.18
Ransomware,Telecommunications,236284,Unknown,Social Engineering,38,16.16
Man-in-the-Middle,Telecommunications,209853,Nation-state,Zero-day,1,15.63
DDoS,Retail,755621,Unknown,Zero-day,50,36.29
SQL Injection,Retail,694844,Insider,Unpatched Software,43,61.41
SQL Injection,Retail,795831,Nation-state,Unpatched Software,61,53.72
DDoS,Retail,342253,Unknown,Weak Passwords,22,17.4
Phishing,Retail,638693,Nation-state,Weak Passwords,35,75.94
Phishing,Banking,618616,Insider,Zero-day,51,55.9
SQL Injection,Retail,774426,Hacker Group,Social Engineering,21,56.76
DDoS,Government,900661,Insider,Unpatched Software,64,76.25
Phishing,Telecommunications,141627,Insider,Unpatched Software,64,75.23
Phishing,IT,845785,Unknown,Unpatched Software,69,3.93
Malware,Retail,120048,Insider,Zero-day,12,99.41
Malware,Retail,894935,Unknown,Social Engineering,31,32.89
SQL Injection,Healthcare,277555,Unknown,Social Engineering,45,21.66
Ransomware,Education,461012,Insider,Unpatched Software,38,85.86
SQL Injection,Telecommunications,599291,Nation-state,Social Engineering,55,80.23
Man-in-the-Middle,Government,163602,Hacker Group,Unpatched Software,26,31.92
SQL Injection,Government,986196,Nation-state,Weak Passwords,11,39.03
Ransomware,Retail,349008,Nation-state,Zero-day,20,99.03
SQL Injection,Retail,559667,Unknown,Zero-day,69,25.1
DDoS,Healthcare,335628,Hacker Group,Weak Passwords,20,67.27
Ransomware,Education,385363,Unknown,Unpatched Software,22,29.89
Man-in-the-Middle,Education,945793,Insider,Zero-day,32,15.92
SQL Injection,Telecommunications,595950,Nation-state,Social Engineering,11,95.93
DDoS,Education,756722,Nation-state,Weak Passwords,15,12.61
Ransomware,Government,594424,Hacker Group,Social Engineering,54,39.92
Malware,Retail,457790,Hacker Group,Zero-day,39,19.36
Ransomware,Telecommunications,549337,Unknown,Social Engineering,63,70.47
Malware,Healthcare,714681,Unknown,Unpatched Software,34,53.34
Malware,Government,849745,Hacker Group,Social Engineering,51,84.15
SQL Injection,Banking,826256,Nation-state,Zero-day,50,27.64
DDoS,IT,617543,Unknown,Zero-day,43,9.01
SQL Injection,Banking,895507,Unknown,Social Engineering,52,9.08
SQL Injection,Healthcare,2233,Unknown,Social Engineering,45,67.9
Phishing,Government,76776,Unknown,Unpatched Software,42,71.12
